accelZ,accelY,accelZ
9.628910000000000524e-01,1.967770000000000075e-01,-4.394499999999999795e-02
9.711910000000000265e-01,1.958010000000000028e-01,-4.418899999999999911e-02
9.646000000000000130e-01,1.960449999999999970e-01,-4.125999999999999807e-02
9.672849999999999504e-01,1.972659999999999969e-01,-4.101599999999999691e-02
9.646000000000000130e-01,1.906740000000000101e-01,-4.052700000000000052e-02
9.728999999999999870e-01,2.033689999999999942e-01,-3.442400000000000321e-02
9.721680000000000321e-01,1.992190000000000072e-01,-3.784200000000000064e-02
9.755859999999999532e-01,1.931150000000000089e-01,-3.686500000000000193e-02
9.667970000000000175e-01,1.958010000000000028e-01,-3.686500000000000193e-02
9.689940000000000220e-01,1.958010000000000028e-01,-3.466799999999999743e-02
9.631349999999999634e-01,1.936039999999999983e-01,-3.442400000000000321e-02
9.702150000000000496e-01,2.031250000000000000e-01,-3.320300000000000334e-02
9.689940000000000220e-01,1.945800000000000030e-01,-3.100599999999999884e-02
9.624019999999999797e-01,1.945800000000000030e-01,-3.369099999999999873e-02
9.631349999999999634e-01,1.909180000000000044e-01,-3.295900000000000218e-02
9.724120000000000541e-01,1.999509999999999899e-01,-2.978499999999999898e-02
9.670410000000000394e-01,1.967770000000000075e-01,-3.051799999999999999e-02
9.724120000000000541e-01,1.953120000000000134e-01,-2.148399999999999962e-02
9.553220000000000045e-01,2.038570000000000104e-01,-3.515599999999999975e-02
9.750980000000000203e-01,1.813960000000000017e-01,-1.464799999999999956e-02
9.575200000000000378e-01,1.926269999999999927e-01,-3.833000000000000296e-02
9.682619999999999560e-01,1.999509999999999899e-01,-3.100599999999999884e-02
9.755859999999999532e-01,1.835940000000000072e-01,-4.028299999999999936e-02
9.746089999999999476e-01,1.904299999999999882e-01,-3.515599999999999975e-02
9.660640000000000338e-01,1.882320000000000104e-01,-3.418000000000000205e-02
9.733889999999999487e-01,2.041020000000000056e-01,-2.612300000000000039e-02
9.655759999999999899e-01,1.977540000000000131e-01,-3.344699999999999757e-02
9.641110000000000513e-01,1.975099999999999911e-01,-3.247099999999999986e-02
9.687500000000000000e-01,1.950679999999999914e-01,-3.125000000000000000e-02
9.641110000000000513e-01,1.926269999999999927e-01,-3.344699999999999757e-02
9.628910000000000524e-01,2.080079999999999985e-01,-3.881799999999999834e-02
9.692380000000000440e-01,2.053220000000000045e-01,-3.198199999999999654e-02
9.692380000000000440e-01,1.997069999999999956e-01,-3.125000000000000000e-02
9.675289999999999724e-01,2.084959999999999869e-01,-3.222699999999999870e-02
